e,j
emigrate,他国へ移住する
alike,似ている
assert,～を断言する
drill,訓練
seawater,海水
need,必要性
teen,10代の若者の
universe,宇宙
present,～を贈呈する
miracle,奇跡
intellectual,知的な
drugstore,薬局
clue,手がかり
regarding,～に関して
resemble,～に似ている
dragonfly,トンボ
tin,ブリキ、スズ
eyeball,眼球
delay,遅延
dessert,デザート
suit,スーツ
pitch,～を投げる
aid,援助
gaze,じっと見る
thread,糸
simultaneously,同時に
solar,太陽の
diligent,勤勉な
novelist,小説家
sausage,ソーセージ
chef,コック長
boyfriend,ボーイフレンド
possess,～を所有する
slight,わずかな
hammer,ハンマー
cinema,映画館
prolong,～を長引かせる
bulb,球根
wicked,悪意のある
china,磁器
pitcher,ピッチャー
diamond,ダイヤモンド
setting,置くこと
curiosity,好奇心
rid,～から取り除く
digest,～を消化する
frighten,～を怖がらせる
classical,古典の
gram,グラム
watermelon,スイカ
doing,実行
agent,代理人
advanced,進歩的な
visual,視覚の
jazz,ジャズ
scared,おびえた
fully,完全に
sin,罪
mechanical,機械の
goddess,女神
enjoyment,楽しむこと
almond,アーモンド
planning,計画立案
bear,～に耐える
administer,～を運営する
carve,～を彫る
previous,以前の
irritate,～をいらいらさせる
comical,こっけいな
version,～版
locate,(場所を)突き止める
feature,特徴
coast,海岸
pond,池
passage,連絡通路
foundation,創立
gasoline,ガソリン
liberal,寛大な
spaghetti,スパゲッティ
distress,苦悩
promote,～を促進する
suicide,自殺
concrete,具体的な
acidity,酸性
wooded,樹木に覆われた
assume,～を想定する
shrine,神社
nevertheless,それにもかかわらず
performer,実行者
discount,～を割引して売る
ash,灰
correspond,一致する
biscuit,ビスケット
fire extinguisher,消火器
seaside,海辺
apology,おわび
wonderfully,驚くほど素晴らしく
correction,訂正
yacht,ヨット
fame,名声
sexuality,性別
garbage,生ごみ
theme,テーマ
pollute,～を汚染する
emperor,皇帝
insight,洞察
microphone,マイク
dawn,夜明け
pub,居酒屋
assistance,補助
flashlight,懐中電灯
faucet,蛇口
signboard,掲示板
inhibit,～を抑制する
hatch,(ひなを)卵からかえす
violet,スミレ
menu,メニュー
hot,ぴりっと辛い
couple,一対
bacteria,細菌(複)
ax,斧
graduation,卒業
wit,機知
research,調査
consent,同意する
issue,～を発行する
grave,厳粛な
strike,攻撃
essence,本質
warming,暖める
arm,武器
stereotype,固定観念
firework,花火
wink,まばたきする
fewer,より少数の
miracle,奇跡
aside,かたわらに
suit,スーツ
aid,交際
permanent,永続する
diligent,勤勉な
gaze,じっと見る
slight,飛行
bookshelf,本棚
supplement,補足
accustom,～を慣れさせる
politics,政治学
frighten,高める
digest,～を模倣する
setting,場面
mentally,精神的に
darkness,暗さ
agent,管理者
disk,ディスク
octopus,タコ
learning,学習
fully,完全に
criminal,犯罪人
alien,外国の
impact,影響
occasional,時折の
mosquito,蚊
repetition,くり返し
location,位置
existence,存在
pond,丘
organize,～を組織する
misunderstand,～を誤解する
ash,灰
alkali,アルカリ
saw,のこぎり
sexuality,創造力
wonderfully,広く
correction,確実なこと
supporter,支持者
liter,リットル
dawn,日没
inhibit,～を共謀する
flashlight,懐中電灯
possibly,ひょっとしたら
announcer,アナウンサー
collector,集める人
inhibit,～を共謀する
colon,コロン(句読点)
doing,実行
cotton,綿
instance,例
inch,インチ(長さの単位)
tenant,借家人
issue,ミサイル
officially,公式に
essence,運転
arm,核
officially,絶対に
conceal,～を隠す
birdcage,鳥かご
match,試合
heat,～を暖める
promptly,即座に
normal,小説家
gaze,じっと見る
hiding,隠れること
marvelous,驚くべき
eldest,最年長の
stereo,ステレオ
frighten,～を怖がらせる
costume,衣装
differ,異なる
scared,おびえた
slender,細長い
organize,～を組織する
promotion,昇進
snowman,雪だるま
stove,調理コンロ
opera,オペラ
porter,支持者
homeless,家のない
cotton,綿
graduation,卒業
minimum,最小限
dial,～へ電話をかける
cabbage,キャベツ
relate,～を関連させる
garbage,生ごみ
