english,japanese
sir,あなたさま(男性への敬称)
circular,円の
self,自己
welfare,福祉
slim,細い
flat,アパート
unkind,不親切な
association,協会
domestic,家庭内の
socialism,社会主義
embarrassment,当惑
healing,癒し
mostly,たいていは
observation,観察
unlimited,無制限の
recommend,～を薦める
site,敷地
individually,個々に
judgment,判断
immigrant,外国からの移民
shining,輝く
housekeeping,家事
amuse,～を楽しませる
spin,～を紡ぐ
slope,傾斜地
receiver,受取人
cleaner,清掃作業員
differently,異なって
undergraduate,学部生
symbolic,象徴的な
endeavor,しようと努める
maintenance,維持
temporary,一時的な
noodle,麺
sector,部門
nationality,国籍
seriousness,深刻さ
rub,～をこする
anti,反対の
affair,業務
adjective,形容詞
woodland,森林地帯
coolness,涼しさ
convention,集会
occasionally,時々
thinking,思考力のある
ambassador,駐在大使
efficient,効率のよい
monotone,単調
journalism,ジャーナリズム
widespread,広範囲に及ぶ
journalist,ジャーナリスト
amaze,～を驚かせる
goodness,良好な状態
keen,鋭敏な
entirely,完全に
contribution,貢献
artistic,芸術の
fairness,公正
adjustment,調整
audio,音声の
resemblance,類似
institution,組織、機構
related,関係のある
sympathize,同情する
overnight,夜通しで
participant,参加者
format,形式
dialogue,対話
booklet,小冊子
recycling,リサイクル
manufacture,製造
deck,甲板
priority seat,優先席
realistic,現実的な
flee,逃げる
tribe,部族
marine,海の
monitor,～を監視する
satisfaction,満足
decoration,装飾
crack,裂け目
explicit,明示的な
delighted,喜びに満ちた
darling,最愛の人
penny,ペニー(英国の旧貨幣単位)
sensation,感覚
capacity,容量
ace,名手
imperial,帝国の
footstep,足音
office worker,サラリーマン、会社員
determination,決心
encouraging,励みになる
headline,見出し
youngster,子ども
bless,～を祝福する
formation,編成
unsuitable,不適当な
unhealthy,健康でない
eyelash,まつげ
endure,～に耐える
amusing,愉快な
power plant,発電所
producer,製作者
split,～を分裂させる
popularity,人気
cosmetic,美容の
rescue,～を救助する
strategy,戦略
nap,昼寝
snowball,雪の玉
patrol,巡回
suit,～に適する
aspect,様相
reasonably,分別をもって
occurrence,発生
packing,荷造り
necessarily,必然的に
Scotch tape,セロハンテープ
lounge,待合室
numerous,多数の
cease,途絶える
electronics,電子工学
pancake,パンケーキ
productivity,生産性
implicit,暗黙の
tissue,細胞組織
protractor,分度器
lighten,～を明るくする
margin,余白
conservative,保守的な
neatly,きちんと
shift,～を移す
scheme,計画
limited,限られた
copyright,著作権
mainstream,主流
phrase,成句
eternal,永遠の
unpopular,不人気の
charm,魅力
marketing,市場取引
monopoly,独占
physicist,物理学者
birthrate,出生率
glorious,栄誉ある
joint,関節
unlike,～とは違って
improvement,改善
quote,～を引用する
explode,～を爆発させる
remote control,リモコン
radical,急進的な
renewal,更新
detect,～を検知する
workman,労働者
immigration,外国からの移住
certificate,証明書
corridor,廊下
rip,～を裂く
unsure,確信のない
treaty,条約
relief,安心
leaves,葉(複)
relatively,比較的
sexy,性的な
threat,脅迫
saving,節約
faithful,忠実な
scatter,～をまき散らす
horrible,恐ろしい
payer,支払人
affection,愛情
sound,健全な
concentration,集中
cockroach,ゴキブリ
craft,手工芸
adjust,～を調整する
delicate,繊細な
lifestyle,生活様式
first-aid,応急の
inventor,発明家
trumpet,トランペット
kneel,ひざまずく
conflict,衝突する
boom,景気の急上昇
cottage,小別荘
booking,予約
